well_id,date,chemical_key,target_rate,target_unit,target_basis,target_source,target_source_priority,effective_rule_used,target_grain,target_confidence,target_status
4250137186,2026-02-11,,,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137602,2026-02-11,,,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137177,2026-02-11,,,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137170,2026-02-11,,,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137178,2026-02-11,,11.1,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137163,2026-02-11,,1.47,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137163,2026-02-11,,0.5,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137175,2026-02-11,,3.73,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137625,2026-02-11,,2.76,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137362,2026-02-11,,1.21,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
4250137364,2026-02-11,,4.04,GPD,,chemical_rates,3,DAILY_RATES_FILE,DAILY,HIGH,ACTIVE
